,annotation,ours,ground_truth
0,0,0.0,0
1,0,0.0,0
2,1,1.0,1
3,0,0.0,1
4,1,0.0,1
5,0,0.0,0
6,1,0.0,1
7,1,1.0,1
8,1,1.0,1
9,0,0.0,1
10,1,0.0,0
11,0,0.0,0
12,0,1.0,1
13,1,1.0,1
14,1,1.0,0
15,1,1.0,1
16,0,0.0,1
17,0,1.0,1
18,0,0.0,0
19,0,0.0,1
20,1,1.0,1
21,1,0.0,0
22,1,1.0,0
23,0,0.0,0
24,1,1.0,1
25,1,1.0,1
26,1,1.0,1
27,1,1.0,1
28,0,1.0,1
29,0,0.0,0
30,1,1.0,1
31,0,0.0,0
32,0,0.0,1
33,0,0.0,1
34,1,1.0,1
35,1,1.0,1
36,1,1.0,1
37,0,0.0,0
38,1,1.0,1
39,0,1.0,1
40,0,0.0,1
41,1,1.0,1
42,0,0.0,0
43,1,1.0,1
44,1,1.0,0
45,0,0.0,0
46,0,0.0,0
47,1,1.0,1
48,1,1.0,1
49,1,1.0,1
50,0,0.0,0
51,0,1.0,1
52,0,0.0,0
53,0,0.0,0
54,0,0.0,0
55,0,0.0,0
56,1,1.0,1
57,1,1.0,1
58,1,1.0,0
59,0,0.0,0
60,0,0.0,0
61,1,1.0,1
62,1,1.0,0
63,1,0.0,1
64,1,1.0,1
65,0,0.0,0
66,0,0.0,0
67,1,1.0,1
68,1,1.0,0
69,0,0.0,0
70,0,0.0,0
71,0,0.0,0
72,1,1.0,1
73,1,0.0,0
74,1,1.0,1
75,1,1.0,1
76,1,1.0,1
77,0,0.0,0
78,1,1.0,1
79,0,1.0,0
80,0,0.0,0
81,0,0.0,0
82,0,0.0,0
83,1,1.0,0
84,1,1.0,1
85,0,0.0,0
86,0,0.0,0
87,0,0.0,0
88,0,0.0,0
89,0,0.0,0
90,1,1.0,1
91,0,0.0,0
92,1,0.0,1
93,1,1.0,1
94,1,0.0,0
95,0,0.0,0
96,0,0.0,0
97,0,0.0,0
98,1,1.0,1
99,0,0.0,0
